Region,שם מוסד,רשות מקומית,פיקוח,מגזר,מחזור סיום,מקצוע,"י""ל",מספר נבחנים,ממוצע ציון סופי,סמל מוסד
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2021,הפקות בתקשורת,3,23,81.96,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2022,הפקות בתקשורת,3,12,84.58,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2023,הפקות בתקשורת,3,13,84.23,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2021,חשבונאות,5,19,84.47,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2022,חשבונאות,5,21,90.1,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2023,חשבונאות,5,20,77.2,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2021,כימיה,5,29,83.86,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2022,כימיה,5,39,80.97,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2023,כימיה,5,40,89.42,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2022,מדעי הבריאות,5,15,83.27,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2021,מדעי לימודי הסביבה,5,51,70.73,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2022,מדעי לימודי הסביבה,5,63,71.94,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2023,מדעי לימודי הסביבה,5,70,72.39,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2021,מנהל וכלכלה,5,21,83.48,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2022,מנהל וכלכלה,5,24,85.5,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2023,מנהל וכלכלה,5,22,88.64,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2021,מערכות אלקטרוניות,5,29,95.93,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2022,מערכות אלקטרוניות,5,21,98.43,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2023,מערכות אלקטרוניות,5,11,99.64,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2021,מערכות תקשוב,5,52,69.08,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2022,מערכות תקשוב,5,30,65.07,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2023,מערכות תקשוב,5,31,64.48,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2021,מתמטיקה,3,165,73.68,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2021,מתמטיקה,4,38,81.29,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2021,מתמטיקה,5,21,86.19,248625
