Region,שם מוסד,רשות מקומית,פיקוח,מגזר,מחזור סיום,מקצוע,"י""ל",מספר נבחנים,ממוצע ציון סופי,סמל מוסד
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2022,עצוב,5,15,83.13,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2022,פיסיקה,5,11,81.45,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2023,פיסיקה,5,11,81.64,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2022,פסיכולוגיה התפתחותית,5,12,84.67,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2021,תנ'ך,2,72,80.6,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2022,תנ'ך,2,70,82.4,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2023,תנ'ך,2,54,80.39,770776
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2021,אזרחות,2,51,76.88,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2022,אזרחות,2,36,76.33,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2023,אזרחות,2,54,73.46,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2021,אנגלית,3,21,70.62,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2021,אנגלית,5,23,88.3,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2022,אנגלית,4,13,68.77,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2022,אנגלית,5,16,86.88,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2023,אנגלית,4,20,74.8,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2023,אנגלית,5,22,81.77,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2021,ביולוגיה,5,11,83.36,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2021,הסטוריה,2,42,75.83,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2022,הסטוריה,2,36,75.53,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2023,הסטוריה,2,53,79.81,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2021,מחשבת ישראל וספרות,2,50,79.46,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2022,מחשבת ישראל וספרות,2,36,78.67,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2023,מחשבת ישראל וספרות,2,48,77.21,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2021,מתמטיקה,3,29,71.03,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2021,מתמטיקה,4,12,84.25,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2022,מתמטיקה,3,18,67.39,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2022,מתמטיקה,4,11,78.91,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2023,מתמטיקה,3,29,63.21,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2023,מתמטיקה,4,14,68.86,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2021,עברית )לשון והבעה(,2,51,71.63,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2022,עברית )לשון והבעה(,2,36,73.67,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2023,עברית )לשון והבעה(,2,52,73.04,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2021,תושבע'פ ותלמוד,5,49,76.18,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2022,תושבע'פ ותלמוד,5,35,75.49,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2023,תושבע'פ ותלמוד,5,52,76.73,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2021,תיירות,5,14,65.21,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2021,תנ'ך,3,45,77.73,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2022,תנ'ך,3,25,67.4,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2023,תנ'ך,3,31,66.16,770784
east,"קרית החינוך אמי""ת",חצור הגלילית,ממלכתי דתי,יהודי,2023,תנ'ך,5,21,82.86,770784
east,עיוני מג'דל שמס,מג'דל שמס,ממלכתי,דרוזי,2021,אזרחות,2,199,74.04,247858
east,עיוני מג'דל שמס,מג'דל שמס,ממלכתי,דרוזי,2022,אזרחות,2,155,79.52,247858
east,עיוני מג'דל שמס,מג'דל שמס,ממלכתי,דרוזי,2023,אזרחות,2,225,85.5,247858
east,עיוני מג'דל שמס,מג'דל שמס,ממלכתי,דרוזי,2021,אנגלית,3,21,71.86,247858
east,עיוני מג'דל שמס,מג'דל שמס,ממלכתי,דרוזי,2021,אנגלית,4,87,72.28,247858
east,עיוני מג'דל שמס,מג'דל שמס,ממלכתי,דרוזי,2021,אנגלית,5,82,81.71,247858
east,עיוני מג'דל שמס,מג'דל שמס,ממלכתי,דרוזי,2022,אנגלית,3,39,68.41,247858
east,עיוני מג'דל שמס,מג'דל שמס,ממלכתי,דרוזי,2022,אנגלית,4,46,72.91,247858
east,עיוני מג'דל שמס,מג'דל שמס,ממלכתי,דרוזי,2022,אנגלית,5,61,80.36,247858
east,עיוני מג'דל שמס,מג'דל שמס,ממלכתי,דרוזי,2023,אנגלית,3,54,62.91,247858
east,עיוני מג'דל שמס,מג'דל שמס,ממלכתי,דרוזי,2023,אנגלית,4,68,69.9,247858
east,עיוני מג'דל שמס,מג'דל שמס,ממלכתי,דרוזי,2023,אנגלית,5,97,82.09,247858
east,עיוני מג'דל שמס,מג'דל שמס,ממלכתי,דרוזי,2021,ביולוגיה,5,56,73.75,247858
east,עיוני מג'דל שמס,מג'דל שמס,ממלכתי,דרוזי,2022,ביולוגיה,5,47,74.57,247858
east,עיוני מג'דל שמס,מג'דל שמס,ממלכתי,דרוזי,2023,ביולוגיה,5,70,75.39,247858
east,עיוני מג'דל שמס,מג'דל שמס,ממלכתי,דרוזי,2022,בקרת מכונות,5,13,74.69,247858
east,עיוני מג'דל שמס,מג'דל שמס,ממלכתי,דרוזי,2023,בקרת מכונות,5,18,90.39,247858
east,עיוני מג'דל שמס,מג'דל שמס,ממלכתי,דרוזי,2021,גאוגרפיה,5,27,77.15,247858
east,עיוני מג'דל שמס,מג'דל שמס,ממלכתי,דרוזי,2023,גאוגרפיה,5,36,65,247858
east,עיוני מג'דל שמס,מג'דל שמס,ממלכתי,דרוזי,2021,הסטוריה - בי'ס דרוזי,2,194,88.96,247858
